p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
RP11-301G19.1	6.04523495801613e-99	0.680584430356215	0.553	0.24	9.48436912563151e-95	0	RP11-301G19.1
MCL1	1.97165538754924e-98	0.536941748623833	0.576	0.251	3.093330137526e-94	0	MCL1
HBEGF	2.88497088061869e-98	0.565662294718949	0.522	0.203	4.52623081460267e-94	0	HBEGF
CCNL1	3.69959554572151e-95	0.58751263276778	0.87	0.67	5.80429545168247e-91	0	CCNL1
DDAH2	1.04825614512351e-94	0.583695255955177	0.782	0.509	1.64460906608427e-90	0	DDAH2
SH3BP5	2.98652920819646e-94	0.592642566992535	0.658	0.347	4.68556567473943e-90	0	SH3BP5
UTRN	3.40707561871602e-94	0.557123172913878	0.66	0.356	5.34536093820357e-90	0	UTRN
GPX1	1.89861561004158e-93	0.422080588435858	0.984	0.91	2.97873803059424e-89	0	GPX1
ELK3	2.58711555778323e-93	0.49062324714202	0.538	0.234	4.05892559860611e-89	0	ELK3
MARCKSL1	3.93521446442647e-92	0.534047814100851	0.91	0.739	6.17395797323869e-88	0	MARCKSL1
GABPB1-AS1	3.67129175027694e-91	0.630335141467394	0.817	0.592	5.75988962700949e-87	0	GABPB1-AS1
HIST1H2AC	6.07126322586701e-91	0.626059176253785	0.698	0.382	9.52520487506275e-87	0	HIST1H2AC
EIF4A2	6.62256895418191e-90	0.478032046884996	0.949	0.852	1.0390148432216e-85	0	EIF4A2
ZFP36	2.51337601788737e-89	0.590829342222384	0.797	0.529	3.9432356344635e-85	0	ZFP36
IPCEF1	4.32743146109118e-89	0.428535342880481	0.429	0.141	6.78930721930595e-85	0	IPCEF1
CSF3R	3.86357041312485e-88	0.458223512614922	0.364	0.106	6.06155562115158e-84	0	CSF3R
IRF8	9.59419589726132e-88	0.510916761903838	0.586	0.277	1.50523339432133e-83	0	IRF8
DUSP6	3.66292957051018e-86	0.598191625365504	0.577	0.291	5.74677020317343e-82	0	DUSP6
RP4-539M6.22	6.84264274454389e-83	0.386839764918812	0.282	0.06	1.07354222019149e-78	0	RP4-539M6.22
CYTL1	8.4999606603952e-83	0.569007622350456	0.596	0.295	1.3335588280094e-78	0	CYTL1
CMTM2	4.08934297199355e-82	0.435626854801025	0.568	0.261	6.41577018876068e-78	0	CMTM2
BCL2	1.30230764782117e-81	0.450118903180666	0.49	0.211	2.04319046866664e-77	0	BCL2
PFKL	2.66362926376867e-81	0.50198143635876	0.754	0.489	4.17896795192667e-77	0	PFKL
NR4A1	2.9375411217709e-81	0.491312399315021	0.465	0.186	4.60870826594636e-77	0	NR4A1
RPL39	3.84700760318354e-80	0.264358077478063	1	0.999	6.03557022863466e-76	0	RPL39
LINC00969	1.76623252689265e-79	0.494307654977017	0.512	0.245	2.77104221144188e-75	0	LINC00969
MYLIP	2.57847540403111e-79	0.536161119320731	0.636	0.344	4.04537006138442e-75	0	MYLIP
RP11-290F5.2	5.22502610865521e-78	0.328615555708855	0.302	0.076	8.19754346186916e-74	0	RP11-290F5.2
PNRC1	5.26461719519787e-78	0.509485425549451	0.864	0.66	8.25965791754594e-74	0	PNRC1
ADGRE5	2.85768190599383e-77	0.592842870392597	0.56	0.295	4.48341714231372e-73	0	ADGRE5
MBP	2.86622668390841e-77	0.466935263563007	0.608	0.323	4.4968230443839e-73	0	MBP
SIPA1L2	3.2802554754741e-77	0.331762642335012	0.288	0.069	5.14639281547131e-73	0	SIPA1L2
UBL3	1.04318798413539e-76	0.427220565616057	0.461	0.193	1.63665762831001e-72	0	UBL3
HLA-DRA	1.04594279440217e-76	0.38527803062344	0.999	0.991	1.64097965013757e-72	0	HLA-DRA
SNX3	5.04855131462404e-76	0.438011860782857	0.897	0.726	7.92067215751366e-72	0	SNX3
PAPOLA	5.70244261798472e-76	0.477499341837935	0.83	0.63	8.94656222335622e-72	0	PAPOLA
BCL11A	5.73521986928595e-76	0.52039351805295	0.664	0.386	8.99798645292273e-72	0	BCL11A
ZFP36L1	6.33331828375191e-75	0.535409283095732	0.777	0.54	9.93634305537837e-71	0	ZFP36L1
WASF2	7.26833491172417e-75	0.507507399638371	0.826	0.641	1.14032906430041e-70	0	WASF2
RBM39	8.34216856625704e-74	0.443669045842981	0.928	0.826	1.30880282636007e-69	0	RBM39
MYL6	9.78854139920976e-74	0.351145875200915	0.997	0.98	1.53572426012202e-69	0	MYL6
ZFP36L2	1.93408285959992e-73	0.564577983402613	0.937	0.835	3.03438259842632e-69	0	ZFP36L2
RNASET2	4.50267689419e-73	0.476627754784176	0.829	0.597	7.06424977929469e-69	0	RNASET2
DDX24	7.48443894539385e-73	0.483761454238295	0.79	0.563	1.17423362614284e-68	0	DDX24
CTD-3252C9.4	9.95770560984854e-73	0.384561014551016	0.313	0.089	1.56226443312914e-68	0	CTD-3252C9.4
DAAM1	4.02030217285131e-72	0.435146516843903	0.578	0.291	6.30745207898643e-68	0	DAAM1
FLT3	5.73279067697002e-72	0.429786521462408	0.572	0.293	8.99417529309826e-68	0	FLT3
KCNK12	1.16124854862501e-71	0.36741800136247	0.317	0.095	1.82188284793778e-67	0	KCNK12
POU4F1	1.81340439772565e-71	0.397095586214525	0.316	0.094	2.84505015959177e-67	0	POU4F1
HLA-E	1.23359371043359e-70	0.431354672144786	0.976	0.874	1.93538517229927e-66	0	HLA-E
MGAT4A	2.03821663336301e-70	0.423191774678808	0.576	0.304	3.19775807608323e-66	0	MGAT4A
MALAT1	2.3609471687893e-70	0.348767652344542	1	1	3.70409001311353e-66	0	MALAT1
MDM2	3.52159714023308e-68	0.430357599238428	0.485	0.224	5.52503375331168e-64	0	MDM2
CYB5A	3.72228742083689e-68	0.468548156603308	0.636	0.37	5.83989673455099e-64	0	CYB5A
RCAN1	6.98827170111353e-68	0.384814062330409	0.396	0.155	1.0963899471877e-63	0	RCAN1
MDK	7.5062645659083e-66	0.461074950942507	0.461	0.215	1.17765784774535e-61	0	MDK
TNFAIP3	2.30096844204882e-65	0.394555444137873	0.285	0.084	3.60998938873039e-61	0	TNFAIP3
WSB1	5.66713420513611e-65	0.482733395814088	0.707	0.481	8.89116685443805e-61	0	WSB1
SH3BP2	7.36493223182535e-65	0.364131779432913	0.435	0.189	1.15548421785108e-60	0	SH3BP2
H3F3B	7.45764489084809e-65	0.353337754785801	1	0.994	1.17002990692516e-60	0	H3F3B
CDK6	2.52321987332195e-64	0.491881511528408	0.653	0.413	3.9586796592548e-60	0	CDK6
ANKRD28	2.72351376616054e-64	0.47157082198159	0.578	0.308	4.27292074772927e-60	0	ANKRD28
KIAA1033	5.95724181365297e-64	0.395547944947283	0.505	0.25	9.34631668144014e-60	0	KIAA1033
YPEL5	3.51830048769823e-63	0.440799042331639	0.798	0.579	5.51986163514976e-59	0	YPEL5
MIR181A1HG	4.01902711186007e-63	0.452544061582725	0.665	0.415	6.30545163579727e-59	0	MIR181A1HG
CLINT1	2.79854633619455e-61	0.401777452349443	0.497	0.253	4.39063934685563e-57	0	CLINT1
SLC38A1	5.08943688437281e-61	0.449197936267867	0.644	0.412	7.9848175278925e-57	0	SLC38A1
MDM4	9.93247745070783e-61	0.536482128991322	0.754	0.553	1.55830638724155e-56	0	MDM4
DDIT4	5.86164464308871e-60	0.466808243318123	0.73	0.488	9.19633428054188e-56	0	DDIT4
PRDX1	1.06416839663468e-59	0.404263236686594	0.952	0.884	1.66957379748014e-55	0	PRDX1
PPP1R18	2.98538183767817e-59	0.405536445761926	0.654	0.413	4.68376556513328e-55	0	PPP1R18
BTG2	1.88785246388748e-58	0.498620210176294	0.675	0.442	2.96185173059306e-54	0	BTG2
ITM2B	6.99653432404839e-58	0.401884529735684	0.884	0.739	1.09768627009995e-53	0	ITM2B
KTN1	1.14454121980773e-57	0.406877552674192	0.814	0.639	1.79567071975634e-53	0	KTN1
KDM5B	1.18620472843665e-57	0.273931502370026	0.261	0.076	1.86103659844425e-53	0	KDM5B
TRIM38	1.338758854176e-57	0.432545926085478	0.616	0.381	2.10037876631672e-53	0	TRIM38
FAM69C	5.13402763252815e-57	0.320919458031295	0.388	0.162	8.05477595267341e-53	0	FAM69C
HNRNPUL1	1.03003165831182e-56	0.404140299293581	0.612	0.373	1.61601666872541e-52	0	HNRNPUL1
DDIT4L	5.70153556602678e-56	0.328312072749829	0.314	0.112	8.94513914953941e-52	0	DDIT4L
CNN2	5.93857115474793e-56	0.260643606881329	0.287	0.093	9.31702428468403e-52	0	CNN2
TRA2B	2.53950445700058e-55	0.401616983516523	0.846	0.683	3.9842285425882e-51	0	TRA2B
ARGLU1	3.43809664857084e-55	0.388305010735485	0.87	0.736	5.39402983194279e-51	0	ARGLU1
GNA15	1.12742282163009e-54	0.348554215980406	0.525	0.279	1.76881366485544e-50	0	GNA15
SH3KBP1	1.26556503040678e-54	0.396340646877034	0.761	0.554	1.9855449762052e-50	0	SH3KBP1
IL17RA	2.71877944875616e-54	0.326303837163894	0.372	0.16	4.26549307715354e-50	0	IL17RA
MEF2C	2.87077277002076e-54	0.44166446696081	0.881	0.724	4.50395539888556e-50	0	MEF2C
LEF1	3.13256579641044e-54	0.482620978572863	0.682	0.47	4.91468247798833e-50	0	LEF1
COX7A2	3.27200847117468e-54	0.331848218108719	0.934	0.866	5.13345409042595e-50	0	COX7A2
VAMP5	3.82932145308293e-54	0.392415055462321	0.623	0.39	6.0078224277418e-50	0	VAMP5
YTHDC1	5.87018151384177e-54	0.385805454074203	0.608	0.379	9.20972777706635e-50	0	YTHDC1
CMPK1	9.12489583925556e-54	0.353698151567623	0.639	0.392	1.4316049082208e-49	0	CMPK1
ROCK1	1.40139348628257e-53	0.372281581863531	0.764	0.548	2.19864624062872e-49	0	ROCK1
MICAL1	2.00294182737063e-53	0.312701172658852	0.385	0.172	3.14241543296177e-49	0	MICAL1
RGS12	3.28589839146823e-53	0.315074666816267	0.374	0.162	5.15524598637451e-49	0	RGS12
AP001055.6	1.10505156145277e-52	0.280543675055364	0.282	0.096	1.73371539476325e-48	0	AP001055.6
SAT1	1.58226490954455e-52	0.465549946002864	0.908	0.768	2.48241541658445e-48	0	SAT1
TNF	1.71277901072973e-52	0.32099956931511	0.275	0.093	2.68717898993388e-48	0	TNF
C12orf75	2.05622056368789e-52	0.39611614018554	0.712	0.489	3.22600444236993e-48	0	C12orf75
PPP1R10	2.57848645051555e-52	0.38043127863542	0.529	0.301	4.04538739221385e-48	0	PPP1R10
MTF2	5.34544833309233e-52	0.426086526831051	0.619	0.409	8.38647388978856e-48	0	MTF2
NAV1	5.56932304107095e-52	0.379064913553359	0.515	0.288	8.73771091913621e-48	0	NAV1
POLR2J3	5.89838552888466e-52	0.398532415815458	0.747	0.545	9.25397705626715e-48	0	POLR2J3
ARMCX3	1.87779355184878e-51	0.36313531253782	0.468	0.243	2.94607030349556e-47	0	ARMCX3
ACTR2	3.26391287258728e-51	0.40364541264588	0.737	0.546	5.12075290580218e-47	0	ACTR2
CALM1	5.63329178696575e-51	0.338628984942003	0.956	0.901	8.83807148457056e-47	0	CALM1
KMT2E	1.49330545477979e-50	0.37704116423828	0.794	0.605	2.34284692800402e-46	0	KMT2E
GLG1	1.88853596300817e-50	0.361189413376978	0.459	0.243	2.96292407236351e-46	0	GLG1
ARHGEF10	2.01088398781826e-50	0.291958191632799	0.308	0.119	3.15487588848806e-46	0	ARHGEF10
ALOX5AP	3.03770087837043e-49	0.314309976781944	0.725	0.46	4.76584890807537e-45	0	ALOX5AP
SMIM3	4.15808531702523e-49	0.35744383423349	0.551	0.321	6.52362005388088e-45	0	SMIM3
ZNF292	3.10454374139266e-48	0.361451596079919	0.537	0.319	4.87071867587094e-44	0	ZNF292
DDX17	3.68823537754991e-48	0.390765819630283	0.74	0.554	5.78647248383806e-44	0	DDX17
IL1B	4.10358931688358e-48	0.371578123221926	0.553	0.325	6.43812127925865e-44	0	IL1B
BRWD1	8.22404645320409e-48	0.330037778005346	0.511	0.288	1.29027064804319e-43	0	BRWD1
SERF2	1.56353359352924e-47	0.278341265875091	0.996	0.989	2.45302785488803e-43	0	SERF2
GTF2I	2.8704424254462e-47	0.357464364281332	0.611	0.4	4.50343712128254e-43	0	GTF2I
CD9	1.063695526043e-46	0.371651043232084	0.956	0.849	1.66883191080886e-42	0	CD9
FAM129C	1.53218928884186e-46	0.342455544983949	0.654	0.421	2.40385177526399e-42	0	FAM129C
UBASH3B	2.40800065651444e-46	0.320978341380115	0.445	0.234	3.7779122300055e-42	0	UBASH3B
CLIC1	1.92456660680035e-45	0.328339798633955	0.925	0.855	3.01945254940907e-41	0	CLIC1
MED13L	2.76101375111671e-45	0.293801395758309	0.429	0.219	4.33175447412701e-41	0	MED13L
UGT3A2	5.90542060676773e-45	0.318676255714295	0.362	0.169	9.26501438995789e-41	0	UGT3A2
FTX	1.56161445232561e-44	0.263194854761007	0.306	0.126	2.45001691425365e-40	0	FTX
AAK1	2.39226715903608e-44	0.341083952780464	0.565	0.349	3.7532279458117e-40	0	AAK1
CSTB	4.46438495327102e-44	0.354701444711677	0.77	0.59	7.0041735531869e-40	0	CSTB
RBM25	6.10024552963576e-44	0.354907167367077	0.784	0.619	9.57067521144554e-40	0	RBM25
HNRNPC	6.35790366256539e-44	0.313955746612144	0.947	0.871	9.97491505619883e-40	0	HNRNPC
CHMP1B	9.32793838707232e-44	0.367719344541032	0.699	0.506	1.46346025354778e-39	0	CHMP1B
MS4A6A	1.21906007526084e-43	0.285669711989347	0.426	0.211	1.91258335207673e-39	0	MS4A6A
FLOT1	1.31073214016673e-43	0.319902376647897	0.505	0.3	2.05640765470758e-39	0	FLOT1
ATF6B	1.79151574338791e-43	0.317206446048676	0.524	0.311	2.81070904980129e-39	0	ATF6B
U2AF1	2.96851082550503e-43	0.320675578574259	0.467	0.263	4.65729663413483e-39	0	U2AF1
MYCBP2	3.60023813322983e-43	0.369958628595368	0.634	0.439	5.64841360722429e-39	0	MYCBP2
EIF1AX	4.70029559568583e-43	0.37712009867599	0.764	0.617	7.37429376007149e-39	0	EIF1AX
BAX	4.87893513677503e-43	0.349317158528609	0.637	0.426	7.65456133608634e-39	0	BAX
LINC00114	9.79827814894046e-43	0.286969263924336	0.321	0.142	1.53725185878727e-38	0	LINC00114
SLC2A3	2.06561648357509e-42	0.291454719671981	0.407	0.206	3.24074570108096e-38	0	SLC2A3
KAT6B	2.50757440300263e-42	0.301092146374654	0.395	0.202	3.93413348087083e-38	0	KAT6B
TMEM123	7.20732910128273e-42	0.320323595690653	0.647	0.44	1.13075786270025e-37	0	TMEM123
TSPYL2	9.43059381032665e-42	0.343741427914446	0.337	0.159	1.47956586290215e-37	0	TSPYL2
PLAUR	9.64830574102126e-42	0.25270962854284	0.278	0.109	1.51372268770883e-37	0	PLAUR
DUSP1	1.0888758427028e-41	0.300290130958176	0.893	0.769	1.70833730961643e-37	0	DUSP1
TNRC6B	1.2438310597294e-41	0.355865818642209	0.66	0.461	1.95144654960945e-37	0	TNRC6B
RPL7L1	1.2488043412558e-41	0.320051025903936	0.545	0.342	1.95924913099623e-37	0	RPL7L1
PNN	1.57688333307065e-41	0.357199397880026	0.884	0.792	2.47397226125454e-37	0	PNN
C4orf48	3.94626503623191e-41	0.28249645111071	0.474	0.271	6.19129521534425e-37	0	C4orf48
MORF4L2	4.25969384762619e-41	0.306549393588172	0.536	0.33	6.68303367754072e-37	0	MORF4L2
SRGN	5.45991959930395e-41	0.285833591426318	0.47	0.26	8.56606785934797e-37	0	SRGN
CNPY3	5.79357351872055e-41	0.319802793331026	0.594	0.391	9.08953749352067e-37	0	CNPY3
TAPBP	6.80467121735192e-41	0.325653545332217	0.574	0.372	1.06758486729034e-36	0	TAPBP
RB1	1.523515762792e-40	0.318390535139548	0.539	0.337	2.39024388024436e-36	0	RB1
FAM101B	1.58069704970997e-40	0.260328794166686	0.517	0.29	2.47995560128997e-36	0	FAM101B
RP1-313I6.12	1.881921165473e-40	0.315692622617711	0.344	0.166	2.95254611651058e-36	0	RP1-313I6.12
EIF5	2.45755695052208e-40	0.345819918022952	0.781	0.625	3.85566109967409e-36	0	EIF5
ERO1B	3.81409930634029e-40	0.271607321795444	0.381	0.195	5.98394040171728e-36	0	ERO1B
PDE4B	1.22016154891103e-39	0.310131013917885	0.414	0.223	1.91431145408651e-35	0	PDE4B
FOXN3	1.57594252386484e-39	0.295493981328724	0.509	0.305	2.47249622569154e-35	0	FOXN3
LINC00936	2.98485292015699e-39	0.267299488850444	0.3	0.131	4.68293574643431e-35	0	LINC00936
LAPTM4A	3.16990739292817e-39	0.318910330022498	0.606	0.408	4.973267708765e-35	0	LAPTM4A
NFKBIZ	3.57073554719808e-39	0.260761265972002	0.276	0.115	5.60212699999906e-35	0	NFKBIZ
CMTM6	6.05357986521631e-39	0.317578612841618	0.566	0.366	9.49746145053787e-35	0	CMTM6
IDS	6.75703073836736e-39	0.311567597681034	0.471	0.273	1.06011055254245e-34	0	IDS
SRSF6	1.07232257246919e-38	0.297908465480379	0.577	0.365	1.68236688394691e-34	0	SRSF6
GNL1	1.23635675008653e-38	0.287336654898139	0.386	0.205	1.93972010521076e-34	0	GNL1
PMAIP1	1.3711826788336e-38	0.324592238439079	0.73	0.532	2.15124850482203e-34	0	PMAIP1
DNAJB6	2.70400552265781e-38	0.304288816508061	0.626	0.426	4.24231426449784e-34	0	DNAJB6
TSPYL1	3.19730538485931e-38	0.263528069196215	0.311	0.143	5.01625241830577e-34	0	TSPYL1
ARPP21	3.2085744600859e-38	0.35185247262583	0.663	0.472	5.03393247042877e-34	0	ARPP21
IRF2BP2	4.86301620250107e-38	0.318005965842957	0.483	0.291	7.62958612010393e-34	0	IRF2BP2
RBM4	4.95384550986666e-38	0.298617199431078	0.441	0.253	7.7720882204298e-34	0	RBM4
SRSF3	8.37806396664347e-38	0.279632151740146	0.916	0.828	1.31443445572669e-33	0	SRSF3
NUMB	8.7494375386237e-38	0.282552533640636	0.492	0.292	1.37269925543467e-33	0	NUMB
ICOSLG	1.10574683766308e-37	0.305511311531226	0.409	0.227	1.7348062136096e-33	0	ICOSLG
TRAF3IP2	1.35794891102409e-37	0.251972069796266	0.284	0.125	2.13048604650569e-33	0	TRAF3IP2
N4BP2L2	3.29023021215948e-37	0.331407031512309	0.728	0.555	5.162042179857e-33	0	N4BP2L2
MYB	5.08836389815133e-37	0.319734742545694	0.603	0.405	7.98313411980961e-33	0	MYB
TGOLN2	5.63430293263395e-37	0.28979658819335	0.488	0.298	8.83965787100941e-33	0	TGOLN2
S100A16	6.23317929188252e-37	0.260225299213834	0.892	0.702	9.77923499103449e-33	0	S100A16
SYNE3	6.33369848461471e-37	0.341031833707063	0.718	0.552	9.93693955251202e-33	0	SYNE3
PPP3CA	6.73471439568324e-37	0.327239713959969	0.524	0.332	1.05660934153874e-32	0	PPP3CA
PCF11	7.10877225529785e-37	0.29453814260124	0.466	0.278	1.11529527913368e-32	0	PCF11
ZKSCAN1	2.85059469548929e-36	0.278743713515869	0.41	0.227	4.47229801775315e-32	0	ZKSCAN1
UBE2G2	3.00724781454846e-36	0.282617295592837	0.493	0.302	4.71807109624507e-32	0	UBE2G2
MYADM	3.06295311839402e-36	0.342736995335616	0.536	0.343	4.80546714744838e-32	0	MYADM
DYNLL1	5.76388950483364e-36	0.311830707139994	0.846	0.744	9.0429662441335e-32	0	DYNLL1
PTTG1IP	5.87269375298028e-36	0.266853543180706	0.393	0.215	9.21366922905077e-32	0	PTTG1IP
PTP4A1	6.27451232017301e-36	0.26255893807017	0.394	0.214	9.84408237911944e-32	0	PTP4A1
LYST	6.81267774609032e-36	0.303698661746583	0.421	0.243	1.06884101158411e-31	0	LYST
PSMA3-AS1	7.13837157040557e-36	0.31823325377966	0.619	0.433	1.11993911568093e-31	0	PSMA3-AS1
PXDN	1.19785850235053e-35	0.261121719032968	0.376	0.2	1.87932020433775e-31	0	PXDN
CMTM3	2.11107390967207e-35	0.267059767998458	0.465	0.274	3.31206385688452e-31	0	CMTM3
CD58	2.18206352515222e-35	0.256346322578608	0.351	0.18	3.42343946461131e-31	0	CD58
DDX6	3.08226617265385e-35	0.299361535909059	0.535	0.351	4.83576739827662e-31	0	DDX6
UBE2D3	3.58358923746514e-35	0.287257942257069	0.881	0.799	5.62229315465906e-31	0	UBE2D3
PLIN3	6.63590653852444e-35	0.320428912468179	0.474	0.297	1.0411073768291e-30	0	PLIN3
C6orf62	1.06918411153458e-34	0.262636493439903	0.436	0.25	1.6774429525866e-30	0	C6orf62
CDKN1A	1.43924168336001e-34	0.285741726353162	0.358	0.188	2.25802627702352e-30	0	CDKN1A
DYNLT1	2.22117449306477e-34	0.253387288144721	0.349	0.181	3.48480066216931e-30	0	DYNLT1
SUMO3	2.64622991247405e-34	0.295697446473655	0.659	0.467	4.15167010968054e-30	0	SUMO3
RGS1	4.13973971645433e-34	0.255808157616525	0.355	0.172	6.49483764114519e-30	0	RGS1
LRRFIP1	4.21203963084565e-34	0.328235201047556	0.766	0.633	6.60826897683374e-30	0	LRRFIP1
RNMT	5.90202375270773e-34	0.303194117185984	0.616	0.433	9.25968506562316e-30	0	RNMT
PAN3	7.22623628276612e-34	0.289519456768439	0.48	0.295	1.13372421040318e-29	0	PAN3
EIF4G2	7.62419902860568e-34	0.25997681277627	0.751	0.554	1.19616058559795e-29	0	EIF4G2
GRIPAP1	1.310082503772e-33	0.253389400039428	0.391	0.216	2.05538844016789e-29	0	GRIPAP1
PHF3	1.51256831506314e-33	0.261712299577124	0.442	0.26	2.37306842950256e-29	0	PHF3
THOC2	2.21743516265047e-33	0.315312269393458	0.688	0.524	3.47893402668233e-29	0	THOC2
ATP5J	2.42241580570788e-33	0.266789752983784	0.894	0.831	3.80052815757509e-29	0	ATP5J
LAT2	3.73207215692975e-33	0.274240925388151	0.907	0.823	5.85524800700708e-29	0	LAT2
TCEAL4	4.70585019571091e-33	0.320876908946418	0.631	0.452	7.38300837205085e-29	0	TCEAL4
